iso_o,TIME_PERIOD,export,import,net_imp,gdp_pct,co2,manufacturing,renewable,energy,trade_openness,fdi,urban,internet,population,country,continent,category,development,eci_sitc,eci_rank_sitc,importing,exporting
CYP,1999,4.811,7.337,2.526,21349.75,7.38,8.63,3.2,2142.1,131.21,3.2,68.53,11.3,100.78,Cyprus,Europe,Advanced Economies,1.0,0.803,27,33.0,39.0
CZE,1999,52.337,41.957,-10.380000000000003,12026.47,11.64,22.45,6.5,3809.01,85.46,6.5,74.12,6.83,133.09,Czech Republic,Europe,Advanced Economies,1.0,1.227,19,53.0,19.0
DEU,1999,327.546,617.41,289.864,34152.0,10.61,19.74,3.3,4080.12,51.52,3.3,74.76,20.8,235.26,Germany,Europe,Advanced Economies,1.0,2.371,3,3.0,69.0
DNK,1999,52.861,48.775999999999996,-4.085000000000001,47657.17,10.76,14.26,9.1,3604.17,72.73,9.1,85.09,30.6,133.04,Denmark,Europe,Advanced Economies,1.0,1.482,15,47.0,25.0
EGY,1999,24.065,43.076,19.011,2361.86,1.81,17.95,8.8,614.4,38.36,8.8,42.75,0.29,71.85,Egypt,Africa,Emerging and Developing Economies,0.0,-0.273,71,17.0,55.0
ESP,1999,134.64600000000002,199.557,64.91099999999997,23017.84,7.36,16.32,7.7,2878.01,54.7,7.7,76.18,7.09,80.86,Spain,Europe,Advanced Economies,1.0,0.868,23,7.0,65.0
EST,1999,11.161,9.872,-1.2889999999999997,9133.9,12.33,14.49,20.0,3543.47,144.12,20.0,69.54,14.5,32.8,Estonia,Europe,Advanced Economies,1.0,0.406,41,43.0,29.0
FIN,1999,51.282,53.236,1.9540000000000006,35886.49,11.4,22.83,30.2,6284.09,66.25,30.2,81.95,32.3,16.96,Finland,Europe,Advanced Economies,1.0,1.761,11,34.0,38.0
FRA,1999,215.615,346.095,130.48000000000002,32152.72,6.68,14.31,9.8,4117.93,51.67,9.8,75.61,9.13,112.26,France,Europe,Advanced Economies,1.0,1.683,12,6.0,66.0
GBR,1999,221.004,391.025,170.021,37435.88,9.27,13.79,0.9,3784.32,49.63,0.9,78.59,21.3,242.56,United Kingdom,Europe,Advanced Economies,1.0,2.177,5,4.0,68.0
GRC,1999,35.497,51.778999999999996,16.281999999999996,17358.43,8.26,10.04,8.0,2393.2,48.18,8.0,72.6,6.88,83.49,Greece,Europe,Advanced Economies,1.0,0.083,55,18.0,54.0
HKG,1999,53.343,98.56,45.217,25237.69,6.89,16.87691176470588,0.1,2391.78,220.27,0.1,100.0,21.2,6291.9,Hong Kong SAR,Asia,Advanced Economies,1.0,0.854,25,9.0,63.0
HRV,1999,7.907,11.437,3.5299999999999994,8541.24,4.41,15.96,27.8,1934.78,66.26,27.8,53.2,4.41,80.71,Croatia,Europe,Advanced Economies,1.0,0.375,43,29.0,43.0
HUN,1999,41.821,43.537,1.716000000000001,8578.2,6.12,19.3,5.2,2490.94,113.87,5.2,64.7,5.86,114.0,Hungary,Europe,Emerging and Developing Economies,0.0,0.762,29,38.0,34.0
IDN,1999,128.93,59.994,-68.936,1767.51,1.39,25.99,45.8,587.05,62.94,45.8,40.79,0.44,117.58,Indonesia,Asia,Emerging and Developing Economies,0.0,0.037,59,63.0,9.0
IND,1999,147.805,113.14699999999999,-34.658000000000015,742.54,0.93,15.18,47.1,392.98,24.82,47.1,27.45,0.27,349.2,India,Asia,Emerging and Developing Economies,0.0,0.183,50,60.0,12.0
IRL,1999,41.08,35.352,-5.7280000000000015,39501.38,10.98,23.53,2.1,3544.84,159.87,2.1,58.91,10.9,54.5,Ireland,Europe,Advanced Economies,1.0,2.361,4,50.0,22.0
ISR,1999,22.032,48.46,26.428,27814.03,8.97,15.78,5.9,2737.58,64.74,5.9,91.14,13.4,283.04,Israel,Asia,Advanced Economies,1.0,1.853,9,14.0,58.0
ITA,1999,178.535,338.369,159.83400000000003,31405.26,7.9,17.98,5.0,2957.59,44.53,5.0,67.16,14.4,193.52,Italy,Europe,Advanced Economies,1.0,1.511,14,5.0,67.0
JOR,1999,5.543,8.173,2.63,3341.66,2.82,12.57,2.2,880.87,104.47,2.2,78.26,2.53,59.8,Jordan,Asia,Emerging and Developing Economies,0.0,0.842,26,31.0,41.0
JPN,1999,186.755,621.138,434.38300000000004,30636.27,9.72,22.4,3.7,3994.22,18.13,3.7,78.52,21.4,347.41,Japan,Asia,Advanced Economies,1.0,2.885,1,2.0,70.0
KAZ,1999,88.914,34.553,-54.361000000000004,3899.66,8.39,14.09,1.8,2324.27,82.58,1.8,56.02,0.46,5.73,Kazakhstan,Asia,Emerging and Developing Economies,0.0,-0.197,67,61.0,11.0
KHM,1999,5.263,2.434,-2.8289999999999997,552.9,0.16,13.2,81.5,271.45,94.18,81.5,18.47,0.03,69.49,Cambodia,Asia,Emerging and Developing Economies,0.0,-1.073,124,46.0,26.0
KOR,1999,198.639,211.63400000000001,12.995000000000005,15714.41,9.1,25.67,0.8,3665.8,59.76,0.8,79.38,23.6,483.27,Korea,Asia,Advanced Economies,1.0,1.09,21,19.0,53.0
LAO,1999,2.233,1.328,-0.905,881.63,0.1,8.7,86.6,2779.6843243243243,80.06,86.6,20.99,0.04,23.14,Lao P.D.R.,Asia,Emerging and Developing Economies,0.0,-1.087,126,42.0,30.0
LTU,1999,7.146,13.579,6.433000000000001,6130.0,3.78,15.3,15.0,2262.27,74.58,15.0,67.05,2.92,56.23,Lithuania,Europe,Advanced Economies,1.0,0.08,57,25.0,47.0
LVA,1999,4.8,9.398,4.598,5929.27,3.29,13.93,36.3,1664.12,82.15,36.3,68.22,4.39,38.42,Latvia,Europe,Advanced Economies,1.0,0.202,49,28.0,44.0
MAR,1999,11.469999999999999,17.441,5.971,1935.48,1.17,18.5,15.9,391.12,48.58,15.9,53.01,0.18,62.8,Morocco,Africa,Emerging and Developing Economies,0.0,-0.57,93,26.0,46.0
MEX,1999,117.776,162.736,44.959999999999994,9264.98,3.84,21.26,12.8,1555.69,48.01,12.8,74.44,1.86,49.96,Mexico,America,Emerging and Developing Economies,0.0,0.963,22,10.0,62.0
MMR,1999,11.284,3.971,-7.313000000000001,265.46,0.21,16.87691176470588,81.9,278.01,79.98726027397261,81.9,26.84,0.0,68.53,Myanmar,Asia,Emerging and Developing Economies,0.0,-1.08,125,51.0,21.0
MYS,1999,158.984,66.206,-92.778,6070.96,5.34,30.94,4.9,1883.08,217.57,4.9,60.74,12.3,68.29,Malaysia,Asia,Emerging and Developing Economies,0.0,1.196,20,67.0,5.0
NGA,1999,91.283,11.088,-80.19500000000001,1390.47,0.73,16.26,87.2,272.18,79.98726027397261,87.2,34.3,0.04,135.1,Nigeria,Africa,Emerging and Developing Economies,0.0,-1.883,140,65.0,7.0
NLD,1999,149.357,174.95,25.59299999999999,39298.73,11.14,12.97,1.6,4685.19,114.33,1.6,76.03,39.2,468.37,The Netherlands,Europe,Advanced Economies,1.0,1.417,17,15.0,57.0
NOR,1999,62.421,64.285,1.8639999999999972,66094.74,10.47,10.12,59.4,5913.28,69.51,59.4,75.57,40.0,12.22,Norway,Europe,Advanced Economies,1.0,0.858,24,36.0,36.0
NZL,1999,34.673,20.277,-14.396,30169.74,8.32,15.56,26.4,4330.23,61.4,26.4,85.94,41.5,14.56,New Zealand,Pacific,Advanced Economies,1.0,0.157,52,55.0,17.0
PAK,1999,17.012999999999998,17.339,0.3260000000000005,1035.5,0.73,14.41,50.2,410.68,32.32,50.2,32.78,0.06,195.32,Pakistan,Asia,Emerging and Developing Economies,0.0,-0.698,104,41.0,31.0
PER,1999,6.109,13.084,6.975,3250.38,1.12,14.67,36.7,512.51,33.21,36.7,72.63,1.95,20.46,Peru,America,Emerging and Developing Economies,0.0,-0.423,81,24.0,48.0
PHL,1999,40.639,52.94,12.300999999999995,1759.42,0.95,16.87691176470588,33.6,483.11,77.16,33.6,46.22,1.43,260.77,Philippines,Asia,Emerging and Developing Economies,0.0,0.612,33,20.0,52.0
POL,1999,100.33,81.888,-18.441999999999993,6998.79,8.4,16.73,6.4,2396.67,53.9,6.4,61.67,5.46,126.22,Poland,Europe,Emerging and Developing Economies,0.0,0.518,36,57.0,15.0
PRT,1999,25.293,46.342,21.049,18258.09,6.35,15.63,19.0,2390.35,63.31,19.0,53.74,14.7,111.67,Portugal,Europe,Advanced Economies,1.0,0.474,38,16.0,56.0
ROU,1999,33.833,18.767,-15.065999999999999,4453.78,4.15,19.38,17.7,1613.96,57.97,17.7,53.16,2.7,97.87,Romania,Europe,Emerging and Developing Economies,0.0,0.232,46,56.0,16.0
RUS,1999,916.554,114.451,-802.103,4819.38,11.28,16.87691176470588,3.8,4137.75,69.39,3.8,73.35,1.02,8.98,Russia,Asia,Emerging and Developing Economies,0.0,0.311,44,71.0,1.0
SAU,1999,35.046,44.614999999999995,9.568999999999996,22214.43,16.44,9.94,0.0,6054.28,57.85,0.0,79.62,0.49,7.2,Saudi Arabia,Asia,Emerging and Developing Economies,0.0,-0.428,82,23.0,49.0
SEN,1999,2.083,3.029,0.9459999999999997,1033.76,0.42,20.26,45.9,231.69,49.49,45.9,40.18,0.31,50.54,Senegal,Africa,Emerging and Developing Economies,0.0,-0.44,83,40.0,32.0
SGP,1999,79.529,77.513,-2.015999999999991,32557.05,10.46,22.85,0.4,4587.58,336.48,0.4,100.0,24.2,5908.54,Singapore,Asia,Advanced Economies,1.0,1.895,7,44.0,28.0
SVK,1999,26.441,20.748,-5.692999999999998,8914.68,8.13,17.26,3.8,3271.6,97.53,3.8,56.29,5.44,112.18,Slovak Republic,Europe,Advanced Economies,1.0,0.772,28,49.0,23.0
SVN,1999,9.419,14.049,4.629999999999999,15646.69,7.78,21.99,10.9,3242.5,92.96,10.9,50.73,12.6,98.46,Slovenia,Europe,Advanced Economies,1.0,1.363,18,27.0,45.0
SWE,1999,53.969,83.8,29.830999999999996,39785.38,6.96,19.42,34.6,5675.24,74.85,34.6,84.0,41.4,21.75,Sweden,Europe,Advanced Economies,1.0,2.139,6,13.0,59.0
THA,1999,105.229,82.575,-22.653999999999996,3403.09,2.8,28.17,21.1,1138.85,100.71,21.1,30.97,2.43,121.94,Thailand,Asia,Emerging and Developing Economies,0.0,0.753,31,59.0,13.0
TUN,1999,11.34,13.236,1.8960000000000008,2766.57,2.09,16.5,14.5,730.2,77.91,14.5,63.04,1.6,62.15,Tunisia,Africa,Emerging and Developing Economies,0.0,-0.203,68,35.0,37.0
TUR,1999,51.866,87.358,35.492000000000004,5991.37,3.17,20.0,20.5,1079.91,37.66,20.5,64.22,2.29,83.93,Türkiye,Europe,Emerging and Developing Economies,0.0,0.011,61,11.0,61.0
UKR,1999,180.79,48.695,-132.095,1319.53,7.27,27.23,1.4,2702.8,101.95,1.4,67.11,0.4,86.26,Ukraine,Europe,Emerging and Developing Economies,0.0,0.223,48,69.0,3.0
USA,1999,826.156,1635.501,809.345,47234.25,20.65,15.47,5.7,7920.05,23.31,5.7,78.74,35.8,30.47,United States,America,Advanced Economies,1.0,1.862,8,1.0,71.0
VNM,1999,47.25,26.457,-20.793,1148.04,0.67,16.87691176470588,59.3,358.08,102.79,59.3,23.82,0.13,234.38,Vietnam,Asia,Emerging and Developing Economies,0.0,-0.49,86,58.0,14.0
ZAF,1999,121.898,40.923,-80.975,4552.85,7.29,18.53,17.7,2365.7,42.26,17.7,56.41,4.12,38.52,South Africa,Africa,Emerging and Developing Economies,0.0,0.229,47,66.0,6.0
ARG,2000,48.636,44.666000000000004,-3.969999999999999,10631.65,3.68,16.49,9.8,1643.32,22.62,9.8,89.14,7.04,13.6,Argentina,America,Emerging and Developing Economies,0.0,-0.09,65,47.0,25.0
AUS,2000,163.213,97.95,-65.26299999999999,45859.52,18.6,11.55,8.4,5681.23,40.94,8.4,84.24,46.76,2.48,Australia,Pacific,Advanced Economies,1.0,-0.253,71,62.0,10.0
AUT,2000,51.706,85.602,33.896,38571.09,8.32,18.73,26.4,3570.95,85.84,26.4,60.21,33.73,97.09,Austria,Europe,Advanced Economies,1.0,1.863,9,13.0,59.0
BEL,2000,129.204,142.523,13.318999999999988,35878.32,12.19,17.54,1.4,5662.98,142.23,1.4,97.13,29.43,337.96,Belgium,Europe,Advanced Economies,1.0,1.359,18,20.0,52.0
BGD,2000,7.26,22.935000000000002,15.675000000000002,620.56,0.2,14.04,60.2,135.95,29.32,60.2,23.59,0.07,1033.6,Bangladesh,Asia,Emerging and Developing Economies,0.0,-0.596,97,19.0,53.0
BGR,2000,21.478,11.427,-10.051000000000002,3717.93,5.9,16.720142857142854,8.0,2276.85,77.75,8.0,68.9,5.37,73.85,Bulgaria,Europe,Emerging and Developing Economies,0.0,0.179,51,54.0,18.0
BLR,2000,48.628,46.537,-2.091000000000001,2615.36,5.64,27.04,5.7,2471.64,141.61,5.7,69.97,1.86,49.2,Belarus,Europe,Emerging and Developing Economies,0.0,0.565,36,44.0,28.0
BRA,2000,164.886,112.418,-52.46799999999999,6817.78,2.01,13.13,42.7,1081.36,22.64,42.7,81.19,2.87,20.82,Brazil,America,Emerging and Developing Economies,0.0,0.542,37,61.0,11.0
CAN,2000,421.65799999999996,283.871,-137.78699999999998,37906.86,17.7,17.02,20.3,8224.75,82.77,20.3,79.48,51.3,3.42,Canada,America,Advanced Economies,1.0,0.651,34,69.0,3.0
CHE,2000,40.713,101.977,61.264,73749.94,6.24,17.64,18.2,3466.51,97.94,18.2,73.38,47.1,181.77,Switzerland,Europe,Advanced Economies,1.0,2.408,2,9.0,63.0
CHL,2000,28.165,31.861,3.6960000000000015,8465.35,3.47,15.19,31.4,1623.48,58.71,31.4,86.07,16.6,20.85,Chile,America,Emerging and Developing Economies,0.0,-0.311,75,28.0,44.0
CHN,2000,767.832,338.037,-429.795,2237.44,2.9,16.720142857142854,29.6,898.08,39.01,29.6,35.88,1.78,134.49,China,Asia,Emerging and Developing Economies,0.0,0.723,30,70.0,2.0
CIV,2000,8.841000000000001,4.726,-4.115000000000001,1717.95,0.39,11.15,63.7,383.7,54.96,63.7,43.16,0.23,55.66,Côte d'Ivoire,Africa,Emerging and Developing Economies,0.0,-0.521,91,48.0,24.0
CMR,2000,5.265,3.293,-1.9719999999999995,1151.28,0.38,14.74,84.6,425.84,47.93,84.6,45.54,0.25,31.55,Cameroon,Africa,Emerging and Developing Economies,0.0,-1.345,135,43.0,29.0
COL,2000,31.268,27.523999999999997,-3.7440000000000033,4016.81,1.6,13.93,27.9,667.58,32.67,27.9,73.96,2.21,35.23,Colombia,America,Emerging and Developing Economies,0.0,-0.025,61,46.0,26.0
CRI,2000,6.545,9.279,2.734,7726.52,1.3,18.32,33.0,729.77,86.52,33.0,59.05,5.8,77.12,Costa Rica,America,Emerging and Developing Economies,0.0,0.794,27,31.0,41.0
CYP,2000,5.099,7.499,2.3999999999999995,22383.96,7.53,8.15,3.1,2264.92,137.49,3.1,68.65,15.26,102.56,Cyprus,Europe,Advanced Economies,1.0,0.732,29,33.0,39.0
CZE,2000,61.233,47.202,-14.030999999999999,12543.94,12.9,23.24,5.9,4021.62,97.5,5.9,73.99,9.78,132.72,Czech Republic,Europe,Advanced Economies,1.0,1.335,19,55.0,17.0
DEU,2000,386.818,646.03,259.212,35087.09,10.6,20.28,3.7,4094.28,59.2,3.7,74.96,30.22,235.6,Germany,Europe,Advanced Economies,1.0,2.297,3,3.0,69.0
DNK,2000,58.319,53.713,-4.606000000000002,49266.99,9.95,14.16,10.7,3491.17,83.04,10.7,85.1,39.17,133.49,Denmark,Europe,Advanced Economies,1.0,1.436,15,49.0,23.0
EGY,2000,28.111,41.173,13.062000000000001,2458.61,1.75,18.0,8.3,569.88,39.02,8.3,42.8,0.64,73.42,Egypt,Africa,Emerging and Developing Economies,0.0,-0.403,83,21.0,51.0
ESP,2000,158.694,222.54399999999998,63.849999999999994,24106.88,7.72,16.27,7.9,2991.49,60.12,7.9,76.26,13.62,81.3,Spain,Europe,Advanced Economies,1.0,0.984,24,8.0,64.0
EST,2000,8.606,8.088,-0.5180000000000007,10006.77,12.44,15.47,19.8,3377.65,126.5,19.8,69.37,28.58,32.96,Estonia,Europe,Advanced Economies,1.0,0.388,41,38.0,34.0
FIN,2000,52.78,59.65,6.869999999999997,37872.6,11.11,24.16,31.7,6257.22,74.93,31.7,82.18,37.25,16.99,Finland,Europe,Advanced Economies,1.0,1.633,11,23.0,49.0
FRA,2000,233.929,377.725,143.79600000000002,33255.14,6.59,14.39,9.3,4130.17,57.79,9.3,75.87,14.31,113.03,France,Europe,Advanced Economies,1.0,1.546,14,6.0,66.0
GBR,2000,228.281,410.876,182.59499999999997,38921.9,9.37,13.28,1.0,3786.4,52.52,1.0,78.65,26.82,243.43,United Kingdom,Europe,Advanced Economies,1.0,2.203,5,4.0,68.0
GRC,2000,41.172,60.12,18.948,18002.91,8.89,9.92,7.8,2512.02,59.11,7.8,72.72,9.14,83.83,Greece,Europe,Advanced Economies,1.0,0.314,46,18.0,54.0
HKG,2000,55.426,106.73299999999999,51.30699999999999,26933.26,6.29,4.59,0.0,2121.26,247.65,0.0,100.0,27.83,6347.62,Hong Kong SAR,Asia,Advanced Economies,1.0,0.918,25,12.0,60.0
HRV,2000,8.752,11.288,2.5359999999999996,8879.96,4.34,16.68,26.8,1882.61,74.6,26.8,53.43,6.64,79.92,Croatia,Europe,Advanced Economies,1.0,0.366,44,32.0,40.0
HUN,2000,46.66,48.872,2.2120000000000033,8979.74,5.82,19.08,5.2,2448.35,137.26,5.2,64.58,7.0,113.94,Hungary,Europe,Emerging and Developing Economies,0.0,1.117,23,35.0,37.0
IDN,2000,150.334,78.901,-71.433,1828.1,1.38,22.66,45.6,585.79,71.44,45.6,42.0,0.93,115.09,Indonesia,Asia,Emerging and Developing Economies,0.0,0.201,49,63.0,9.0
IND,2000,169.733,122.161,-47.572,756.7,0.94,15.93,46.9,394.92,26.9,46.9,27.67,0.53,355.82,India,Asia,Emerging and Developing Economies,0.0,0.323,45,60.0,12.0
IRL,2000,42.981,36.077,-6.9040000000000035,42643.63,11.52,23.12,2.0,3627.39,174.95,2.0,59.16,17.85,55.24,Ireland,Europe,Advanced Economies,1.0,2.295,4,51.0,21.0
ISR,2000,27.071,56.525,29.453999999999997,29413.49,9.43,16.55,6.0,2899.21,68.35,6.0,91.2,20.87,290.62,Israel,Asia,Advanced Economies,1.0,1.674,10,15.0,57.0
ITA,2000,206.558,378.153,171.59500000000003,32609.67,7.99,17.67,5.1,3012.48,50.27,5.1,67.22,23.11,192.56,Italy,Europe,Advanced Economies,1.0,1.548,13,5.0,67.0
JOR,2000,5.184,8.532,3.348,3412.08,3.06,12.95,2.1,903.24,110.33,2.1,78.27,2.62,61.05,Jordan,Asia,Emerging and Developing Economies,0.0,0.699,33,29.0,43.0
JPN,2000,215.919,714.923,499.004,31430.63,9.85,22.45,3.7,4067.04,19.56,3.7,78.65,29.99,347.99,Japan,Asia,Advanced Economies,1.0,2.993,1,2.0,70.0
KAZ,2000,115.557,41.222,-74.33500000000001,4269.33,8.53,16.5,2.5,2301.83,105.7,2.5,56.1,0.67,5.74,Kazakhstan,Asia,Emerging and Developing Economies,0.0,-0.297,73,64.0,8.0
KHM,2000,7.0009999999999994,3.287,-3.7139999999999995,598.56,0.16,15.83,81.6,273.11,110.4,81.6,18.59,0.05,70.6,Cambodia,Asia,Emerging and Developing Economies,0.0,-0.678,103,45.0,27.0
KOR,2000,223.88500000000002,276.48199999999997,52.59699999999995,16995.56,10.09,26.45,0.7,3952.36,66.1,0.7,79.62,44.7,487.33,Korea,Asia,Advanced Economies,1.0,1.384,17,11.0,61.0
LAO,2000,2.697,1.6400000000000001,-1.057,917.23,0.17,8.71,81.5,296.83,68.84,81.5,21.98,0.11,23.53,Lao P.D.R.,Asia,Emerging and Developing Economies,0.0,-0.97,124,39.0,33.0
LTU,2000,7.966,14.476,6.510000000000001,6384.31,3.33,16.97,17.2,2040.58,83.19,17.2,66.99,6.43,55.83,Lithuania,Europe,Advanced Economies,1.0,0.022,59,24.0,48.0
LVA,2000,4.934,9.412,4.478000000000001,6336.38,3.05,13.95,35.8,1618.64,83.61,35.8,68.07,6.32,38.05,Latvia,Europe,Advanced Economies,1.0,0.105,55,26.0,46.0
MAR,2000,12.595,18.756,6.161,1957.14,1.18,18.08,15.5,387.67,53.44,15.5,53.34,0.69,63.69,Morocco,Africa,Emerging and Developing Economies,0.0,-0.491,90,25.0,47.0
MEX,2000,134.304,201.53799999999998,67.23399999999998,9581.97,4.02,21.04,12.2,1541.32,49.91,12.2,74.72,5.08,50.73,Mexico,America,Emerging and Developing Economies,0.0,1.209,22,7.0,65.0
MMR,2000,14.136,4.296,-9.84,298.59,0.22,16.720142857142854,80.2,283.53,86.71410958904112,80.2,27.02,6.643199999999999,69.3,Myanmar,Asia,Emerging and Developing Economies,0.0,-1.04,127,53.0,19.0
MYS,2000,168.155,77.74,-90.415,6455.61,5.69,30.86,4.4,2102.39,220.41,4.4,61.98,21.38,69.91,Malaysia,Asia,Emerging and Developing Economies,0.0,1.23,21,66.0,6.0
NGA,2000,115.302,13.528,-101.774,1421.68,0.79,13.93,86.0,273.94,86.71410958904112,86.0,34.84,0.06,138.76,Nigeria,Africa,Emerging and Developing Economies,0.0,-2.086,143,67.0,5.0
NLD,2000,157.667,177.111,19.44399999999999,40665.34,11.11,12.71,1.7,4695.37,125.67,1.7,76.8,43.98,471.73,The Netherlands,Europe,Advanced Economies,1.0,1.316,20,17.0,55.0
NOR,2000,63.308,62.221,-1.0870000000000033,67846.6,9.3,8.97,60.2,5826.12,74.31,60.2,76.02,52.0,12.3,Norway,Europe,Advanced Economies,1.0,0.478,39,40.0,32.0
NZL,2000,37.548,20.332,-17.216,30853.81,8.53,15.5,26.4,4467.21,68.52,26.4,86.02,47.38,14.65,New Zealand,Pacific,Advanced Economies,1.0,0.162,52,58.0,14.0
PAK,2000,19.535,18.108,-1.4269999999999996,1049.54,0.72,9.09,51.0,411.54,21.46,51.0,32.98,6.643199999999999,200.91,Pakistan,Asia,Emerging and Developing Economies,0.0,-0.613,99,42.0,30.0
PER,2000,6.657,13.708,7.051,3286.27,1.09,15.21,38.6,506.01,35.54,38.6,73.04,3.08,20.78,Peru,America,Emerging and Developing Economies,0.0,-0.524,93,22.0,50.0
PHL,2000,35.971000000000004,38.371,2.3999999999999986,1793.35,0.93,25.28,33.9,487.4,85.15,33.9,46.14,1.98,267.05,Philippines,Asia,Emerging and Developing Economies,0.0,0.707,32,34.0,38.0
POL,2000,107.213,90.709,-16.50399999999999,7401.58,8.18,15.93,6.9,2321.78,60.61,6.9,61.72,7.29,124.91,Poland,Europe,Emerging and Developing Economies,0.0,0.718,31,57.0,15.0
PRT,2000,27.28,51.155,23.875,18822.09,6.26,15.05,20.1,2390.19,67.45,20.1,54.4,16.43,112.46,Portugal,Europe,Advanced Economies,1.0,0.608,35,16.0,56.0
ROU,2000,25.875,16.408,-9.466999999999999,4569.31,4.34,19.81,16.4,1615.33,48.52,16.4,53.0,3.61,97.7,Romania,Europe,Emerging and Developing Economies,0.0,0.435,40,52.0,20.0
RUS,2000,1014.915,136.203,-878.712,5323.67,11.47,16.720142857142854,3.5,4224.99,68.09,3.5,73.35,1.98,8.95,Russia,Asia,Emerging and Developing Economies,0.0,0.264,47,71.0,1.0
SAU,2000,54.121,52.885,-1.2360000000000042,22247.86,16.4,9.23,0.0,6516.01,68.17,0.0,79.85,2.21,7.53,Saudi Arabia,Asia,Emerging and Developing Economies,0.0,-0.239,69,41.0,31.0
SEN,2000,1.895,2.713,0.8180000000000001,1048.37,0.4,20.84,47.5,240.57,48.68,47.5,40.32,0.4,51.78,Senegal,Africa,Emerging and Developing Economies,0.0,-0.344,78,36.0,36.0
SGP,2000,89.575,93.665,4.090000000000003,34890.08,11.3,25.86,0.3,4634.81,364.36,0.3,100.0,36.0,6011.77,Singapore,Asia,Advanced Economies,1.0,1.985,8,27.0,45.0
SVK,2000,29.718,23.947,-5.771000000000001,8997.21,7.73,19.63,3.7,3292.78,108.94,3.7,56.23,9.43,112.03,Slovak Republic,Europe,Advanced Economies,1.0,0.89,26,50.0,22.0
SVN,2000,10.563,13.606,3.0429999999999993,16146.12,7.56,21.66,18.0,3281.08,104.62,18.0,50.75,15.11,98.75,Slovenia,Europe,Advanced Economies,1.0,1.403,16,30.0,42.0
SWE,2000,57.037,88.273,31.235999999999997,41561.1,6.54,19.86,39.8,5375.75,81.47,39.8,84.03,45.69,21.78,Sweden,Europe,Advanced Economies,1.0,2.04,7,14.0,58.0
THA,2000,115.793,101.324,-14.469000000000008,3514.72,2.77,28.38,21.8,1153.05,121.3,21.8,31.39,3.69,123.33,Thailand,Asia,Emerging and Developing Economies,0.0,0.735,28,56.0,16.0
TUN,2000,11.508000000000001,12.047,0.5389999999999997,2864.55,2.16,16.31,14.2,748.27,82.64,14.2,63.43,2.75,62.85,Tunisia,Africa,Emerging and Developing Economies,0.0,-0.069,63,37.0,35.0
TUR,2000,62.644,117.078,54.434000000000005,6325.1,3.47,18.71,17.3,1166.01,42.35,17.3,64.74,3.76,85.01,Türkiye,Europe,Emerging and Developing Economies,0.0,0.12,54,10.0,62.0
UKR,2000,180.143,47.976,-132.167,1409.22,7.26,17.39,1.2,2700.1,115.74,1.2,67.14,0.72,85.54,Ukraine,Europe,Emerging and Developing Economies,0.0,0.368,42,68.0,4.0
USA,2000,883.2479999999999,1836.134,952.8860000000001,48616.25,21.01,15.12,5.4,8055.15,25.1,5.4,79.06,43.08,30.8,United States,America,Advanced Economies,1.0,2.056,6,1.0,71.0
VNM,2000,57.071,34.004999999999995,-23.066000000000003,1212.2,0.73,16.720142857142854,57.7,372.49,111.42,57.7,24.37,0.25,248.04,Vietnam,Asia,Emerging and Developing Economies,0.0,-0.455,86,59.0,13.0
ZAF,2000,129.591,41.211,-88.38000000000001,4700.88,7.36,18.97,16.2,2269.37,46.22,16.2,56.89,5.35,38.88,South Africa,Africa,Emerging and Developing Economies,0.0,0.144,53,65.0,7.0
ARG,2001,50.728,38.006,-12.722000000000001,10051.94,3.49,16.09,11.5,1518.57,21.85,11.5,89.33,9.78,13.75,Argentina,America,Emerging and Developing Economies,0.0,-0.127,70,55.0,17.0
AUS,2001,171.34799999999998,96.247,-75.10099999999998,46191.31,18.7,10.98,8.4,5486.39,44.22,8.4,84.1,52.69,2.51,Australia,Pacific,Advanced Economies,1.0,-0.309,79,62.0,10.0
AUT,2001,53.169,85.699,32.53,38929.75,8.88,18.87,25.5,3758.79,88.0,25.5,59.93,39.19,97.46,Austria,Europe,Advanced Economies,1.0,1.864,10,12.0,60.0
BEL,2001,118.10600000000001,131.691,13.584999999999994,36148.29,12.24,17.04,1.6,5606.17,139.58,1.6,97.19,31.29,339.12,Belgium,Europe,Advanced Economies,1.0,1.412,17,19.0,53.0
BGD,2001,7.5280000000000005,23.457,15.929,641.29,0.24,14.18,55.9,148.26,32.1,55.9,24.1,0.13,1050.98,Bangladesh,Asia,Emerging and Developing Economies,0.0,-0.835,111,17.0,55.0
BGR,2001,22.033,12.786999999999999,-9.246000000000002,3937.7,6.3,16.59742857142857,7.2,2419.77,79.08,7.2,69.17,7.61,72.4,Bulgaria,Europe,Emerging and Developing Economies,0.0,0.249,47,52.0,20.0
BLR,2001,49.281,46.77,-2.5109999999999957,2753.03,5.54,26.6,6.3,2496.02,137.04,6.3,70.46,4.3,48.95,Belarus,Europe,Emerging and Developing Economies,0.0,0.625,33,44.0,28.0
BRA,2001,206.828,113.759,-93.069,6823.03,1.99,13.09,41.3,1086.99,26.94,41.3,81.55,4.53,21.09,Brazil,America,Emerging and Developing Economies,0.0,0.437,39,67.0,5.0
CAN,2001,405.767,268.13300000000004,-137.63399999999996,38200.46,17.22,16.04,19.8,8017.17,78.34,19.8,79.81,60.2,3.46,Canada,America,Advanced Economies,1.0,0.582,35,69.0,3.0
