Series Name,Series Code,Country Name,Country Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Luxembourg,LUX,17.4,22.9,36.2,39.8,54.6,65.9,70,72.5,78.9,82.2,87.3,90.6,90,91.9,93.8,94.7,96.4,98.1,97.4,97.1,97.1,98.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Macao SAR, China",MAC,9.21,13.6,22.5,25.2,25.7,31.5,34.9,46.4,47.3,49.2,54,55.2,60.2,61.3,65.8,69.8,77.6,81.6,83.2,83.8,86.5,87.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Madagascar,MDG,0.169,0.196,0.223,0.34,0.423,0.525,0.568,0.608,0.65,1.65,1.63,1.7,1.9,2.3,3,3.7,4.17,4.71,6.4,7.75,9.38,11.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Malawi,MWI,0.0873,0.127,0.164,0.215,0.279,0.348,0.384,0.425,0.966,0.7,1.07,2.26,3.33,4.35,5.05,5.83,6,6.3,7,8.8,11.1,13.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,Malaysia,MYS,12.3,21.4,26.7,32.3,35,42.3,48.6,51.6,55.7,55.8,55.9,56.3,61,65.8,57.1,63.7,71.1,78.8,80.1,81.2,84.2,89.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,Maldives,MDV,1.12,2.2,3.62,5.35,5.98,6.59,6.87,11,16.3,23.2,24.8,26.5,34,38.9,44.1,49.3,54.5,59.5,65,70.9,77.5,79.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mali,MLI,0.0609,0.143,0.186,0.227,0.31,0.433,0.507,0.73,0.81,1.57,1.8,2,2.2,2.8,3.5,7,10.3,14,18.9,21.4,25,29.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Malta,MLT,7.76,13.1,17.9,28.9,31.6,34.6,41.2,40.4,46.9,50.1,58.9,63,68,68.2,68.9,73.1,76,78.1,81,81.7,85.8,86.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,Marshall Islands,MHL,0.966,1.53,1.71,2.34,2.57,3.6,3.88,3.8,3.95,4.6,5.6,7,10,12.5,14,16.8,19.3,29.8,38.7,43.9,49.8,56.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mauritania,MRT,0.118,0.192,0.261,0.363,0.424,0.481,0.67,0.98,1.43,1.87,2.28,4,4.5,5,6.2,11.8,17.6,19.2,21,23,25.1,27.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mauritius,MUS,4.65,7.28,8.78,10.3,12.2,13.7,15.2,16.7,20.2,21.8,22.5,28.3,35,35.4,40.1,44.8,50.1,52.2,55.4,58.6,61.7,67.7
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mexico,MEX,1.86,5.08,7.04,11.9,12.9,14.1,17.2,19.5,20.8,21.7,26.3,31.1,37.2,39.8,43.5,44.4,57.4,59.5,53,56.7,69.6,71.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Micronesia, Fed. Sts.",FSM,2.8,3.73,4.66,5.57,9.23,11,11.9,12.8,13.6,14.5,15.4,20,22.8,26,27.8,29.7,31.5,33.4,35.3,36.6,38,39.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Moldova,MDA,0.601,1.28,1.49,3.79,7.41,10.6,14.6,19.6,20.5,23.4,27.5,29.7,32.1,34.7,37.4,67,69,71,49.9,50.3,57.8,58.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,Monaco,MCO,..,42.2,46.6,48,49.5,52.5,55.5,61.5,64.4,67.3,70.1,75,80.3,87,90.7,92.4,93.4,95.2,97.1,..,83.3,98.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mongolia,MNG,0.508,1.26,1.65,2.04,..,..,..,..,9,9.8,10,10.2,12.5,16.4,17.7,19.9,22.5,22.3,23.7,47.1,51.1,62.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Montenegro,MNE,..,..,..,..,..,25.4,27.1,28.9,30.8,32.9,35.1,37.5,35.6,56.8,60.3,63.9,68.1,69.9,71.3,71.5,73.5,77.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,Morocco,MAR,0.176,0.694,1.37,2.37,3.35,11.6,15.1,19.8,21.5,33.1,41.3,52,46.1,55.4,56,56.8,57.1,58.3,61.8,64.8,84.1,84.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mozambique,MOZ,0.0563,0.11,0.16,0.26,0.42,0.679,0.854,0.843,0.91,1.56,2.68,4.17,4.6,5,5.5,6,6.5,7,7.8,10.9,12.5,14.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,Myanmar,MMR,0.000152,..,0.000289,0.000426,0.0241,0.0243,0.0652,0.182,0.217,0.22,0.22,0.25,0.98,1.4,1.8,7.4,10.9,16,23.6,29.4,36.5,45.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Namibia,NAM,0.336,1.64,2.42,2.63,3.36,3.8,4.01,4.4,4.84,5.33,6.5,11.6,12,12.9,13.9,14.8,25.7,31,36.8,42.8,49.8,57.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,Nauru,NRU,..,..,2.99,..,..,..,..,..,..,..,..,..,54,..,..,..,..,..,62.4,..,74.7,81.7
Individuals using the Internet (% of population),IT.NET.USER.ZS,Nepal,NPL,0.147,0.205,0.24,0.313,0.383,0.45,0.827,1.14,1.41,1.73,1.97,7.93,9,11.1,13.3,15.4,17.6,20.7,24.3,28.6,33.3,38.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,Netherlands,NLD,39.2,44,49.4,61.3,64.4,68.5,81,83.7,85.8,87.4,89.6,90.7,91.4,92.9,94,91.7,91.7,90.4,93.2,91.9,93.3,91.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,New Caledonia,NCL,5.69,13.9,18.2,22.4,26.4,30.3,32.4,33.5,35.1,34.5,34,42,50,58,66,70,74,..,82,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,New Zealand,NZL,41.5,47.4,53.2,59.1,61,61.8,62.7,69,69.8,72,79.7,80.5,81.2,81.6,82.8,84,85.2,86.5,87.7,89,89.9,95.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,Nicaragua,NIC,0.498,0.98,1.45,1.71,1.88,2.32,2.57,2.81,3.9,5.3,7.3,10,10.6,13.5,15.5,17.6,19.7,24.6,30.4,33.9,37.8,42.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,Niger,NER,0.0281,0.0363,0.105,0.127,0.156,0.19,0.221,0.294,0.39,0.7,0.76,0.83,0.9,1.05,1.15,1.25,2.48,4.32,10.2,..,16.6,17
Individuals using the Internet (% of population),IT.NET.USER.ZS,Nigeria,NGA,0.041,0.0641,0.0899,0.32,0.559,1.29,3.55,5.55,6.77,8,9.3,11.5,13.8,16.1,19.1,21,22.5,24.1,25.9,27.7,29.7,31.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,North Macedonia,MKD,1.5,2.49,3.47,17.3,19.1,24.4,26.5,28.6,36.3,46,51.8,51.9,56.7,57.4,65.2,68.1,70.4,72.2,74.5,79.2,81.4,81.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Norway,NOR,40,52,64,72.8,78.1,77.7,82,82.6,86.9,90.6,92.1,93.4,93.5,94.7,95.1,96.3,96.8,97.3,96.4,96.5,98,94.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,Oman,OMN,2.52,3.52,5.89,6.87,7.26,6.76,6.68,8.3,16.7,20,26.8,35.8,48,60,66.5,70.2,73.5,76.8,80.2,85.5,90.3,95.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,Pakistan,PAK,0.0554,..,1.32,2.58,5.04,6.16,6.33,6.5,6.8,7,7.5,8,8,8.1,9,10,11,12.4,13.8,15.3,17.1,18.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,Palau,PLW,..,..,..,20.2,21.6,27,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Panama,PAN,3.84,6.55,7.27,8.52,9.99,11.1,11.5,17.3,22.3,33.8,39.1,40.1,42.7,40.3,44,44.9,51.2,54,60,61.8,63.6,70
Individuals using the Internet (% of population),IT.NET.USER.ZS,Papua New Guinea,PNG,0.667,0.835,0.904,1.32,1.37,1.51,1.72,1.75,1.79,1.15,1.61,1.28,2,3.5,5.1,6.5,7.9,9.6,11.2,..,20,24.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Paraguay,PRY,0.382,0.748,1.1,1.79,2.11,3.45,7.91,7.96,11.2,14.3,18.9,19.8,24.8,29.3,36.9,43,49.7,53.4,61.1,65,68.5,74
Individuals using the Internet (% of population),IT.NET.USER.ZS,Peru,PER,1.95,3.08,7.58,8.97,11.6,14.1,17.1,20.7,25.2,30.6,31.4,34.8,36,38.2,39.2,40.2,40.9,45.5,50.5,55.1,60,65.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,Philippines,PHL,1.43,1.98,2.52,4.33,4.86,5.24,5.4,5.74,5.97,6.22,9,25,29,30.8,32.7,34.7,36.9,39.2,41.6,44.1,43,53.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Poland,POL,5.46,7.29,9.9,21.2,24.9,32.5,38.8,44.6,48.6,53.1,59,62.3,62,62.3,62.8,66.6,68,73.3,76,77.5,80.4,83.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,Portugal,PRT,14.7,16.4,18.1,19.4,29.7,31.8,35,38,42.1,44.1,48.3,53.3,55.3,60.3,62.1,64.6,68.6,70.4,73.8,74.7,75.3,78.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,Puerto Rico (US),PRI,5.27,10.5,15.6,17.5,19.7,22.1,23.4,25.4,27.9,38,41.5,45.3,48,69,69,76.1,63.5,68.6,68.7,70.9,77.7,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Qatar,QAT,4.07,4.86,6.17,10.2,19.2,20.7,24.7,29,37,44.3,53.1,69,69,69.3,85.3,91.5,92.9,95.1,97.4,99.7,99.7,99.7
Individuals using the Internet (% of population),IT.NET.USER.ZS,Romania,ROU,2.7,3.61,4.54,6.58,8.9,15,21.5,24.7,28.3,32.4,36.6,39.9,40,45.9,49.8,54.1,55.8,59.5,63.7,70.7,73.7,78.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Russian Federation,RUS,1.02,1.98,2.94,4.13,8.3,12.9,15.2,18,24.7,32,42.6,49,58,66,68,70.5,70.1,73.1,76,80.9,82.6,85
Individuals using the Internet (% of population),IT.NET.USER.ZS,Rwanda,RWA,0.0672,0.0628,0.241,0.293,0.357,0.431,0.556,..,2.12,4.5,7.7,8,7,8.02,9,10.6,12.5,14.6,17.2,19.2,21.4,23.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Samoa,WSM,0.285,0.566,1.69,2.24,2.8,3.08,3.35,4.47,4.75,5.03,6,7,11,12.9,15.3,21.2,25.4,31.7,39.4,43.1,47.2,51.7
Individuals using the Internet (% of population),IT.NET.USER.ZS,San Marino,SMR,42.8,48.8,50.3,50.8,50,50.6,50.3,50.2,50.4,54.5,54.2,..,49.6,..,..,..,..,..,60.2,..,67.9,78
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sao Tome and Principe,STP,0.363,4.64,6.31,7.58,10.2,13.3,13.8,14.2,14.6,15.5,16.4,18.8,20.2,21.6,23,24.4,25.8,28,32.6,38,44.3,51.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,Saudi Arabia,SAU,0.494,2.21,4.68,6.38,8,10.2,12.7,19.5,30,36,38,41,47.5,54,60.5,64.7,69.6,74.9,94.2,93.3,95.7,97.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,Senegal,SEN,0.311,0.404,0.984,1.01,2.1,4.39,4.79,5.61,6.89,7.12,7.5,8,9.8,10.8,13.1,17.7,21.7,25.7,29.6,35.3,43.4,53.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,Serbia,SRB,..,..,..,..,..,23.5,26.3,27.2,33.2,35.6,38.1,40.9,42.2,48.1,53.5,62.1,65.3,67.1,70.3,73.4,77.4,78.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Seychelles,SYC,6.23,7.4,11,14.3,14.6,24.3,25.4,35,38.4,40.4,..,41,43.2,47.1,50.4,51.3,54.3,56.5,62.6,69.2,76.6,84.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sierra Leone,SLE,0.0485,0.118,0.16,0.176,0.19,0.203,0.215,0.228,0.24,0.25,0.26,0.58,0.9,2.5,4,6.06,6.34,11.8,13.2,14.4,15.7,17.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Singapore,SGP,24.2,36,41.7,47,53.8,62,61,59,69.9,69,69,71,71,72,80.9,79,79,84.5,84.5,88.2,88.9,92
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Slovak Republic,SVK,5.44,9.43,12.5,40.1,43,52.9,55.2,56.1,61.8,66.1,70,75.7,74.4,76.7,77.9,80,77.6,80.5,81.6,80.4,82.9,89.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,Slovenia,SVN,12.6,15.1,30.2,27.8,31.9,40.8,46.8,54,56.7,58,64,70,67.3,68.4,72.7,71.6,73.1,75.5,78.9,79.8,83.1,86.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,Solomon Islands,SLB,0.495,0.481,0.469,0.502,0.556,0.65,0.844,1.65,2,3,4,5,6,7,8,9,10,11,15.1,20.9,26.3,33.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,Somalia,SOM,0.0139,0.02,0.079,0.116,0.376,1.05,1.08,1.1,1.12,1.14,1.16,..,1.25,1.38,1.5,1.63,1.76,1.88,2,..,..,15
Individuals using the Internet (% of population),IT.NET.USER.ZS,South Africa,ZAF,4.12,5.35,6.35,6.71,7.01,8.43,7.49,7.61,8.07,8.43,10,24,34,41,46.5,49,51.9,54,56.2,62.4,69.7,72.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.2,2.6,3,3.5,4.1,4.8,6.7,9.27
Individuals using the Internet (% of population),IT.NET.USER.ZS,Spain,ESP,7.09,13.6,18.1,20.4,39.9,44,47.9,50.4,55.1,59.6,62.4,65.8,67.1,69.8,71.6,76.2,78.7,80.6,84.6,86.1,90.7,93.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sri Lanka,LKA,0.348,0.647,0.794,1.05,1.46,1.45,1.79,2.54,3.88,..,..,..,..,..,..,10.5,15.3,22.2,25.1,28.3,32,36.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,St. Kitts and Nevis,KNA,4.4,5.86,7.71,21.2,23,24.7,34,38.5,43.5,49.2,55.7,63,63.2,64,64.6,65.4,66.2,67,67.8,68.6,69.4,70.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,St. Lucia,LCA,1.93,5.09,8.18,14.6,21,21.4,21.6,24.5,27.9,30,31,32.5,34,45.9,49.4,53.2,57.3,58.2,59.2,60.1,61.1,62.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,St. Vincent and the Grenadines,VCT,2.78,3.25,5.09,5.55,6.46,7.37,9.2,12,16,21,31,33.7,36.7,40,43.5,47.4,49.4,51.5,53.7,56,59.6,63.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sudan,SDN,0.00879,0.0258,0.14,0.439,0.538,0.792,1.29,..,8.66,..,..,..,..,..,..,..,..,14.1,18.6,24.6,25.9,26.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Suriname,SUR,1.89,2.51,3.06,4.16,4.72,6.08,6.4,9.5,14.1,21.1,31.4,31.6,32,34.7,37.4,40.1,42.8,45.4,48.9,55.1,62,69.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sweden,SWE,41.4,45.7,51.8,70.6,79.1,83.9,84.8,87.8,82,90,91,90,92.8,93.2,94.8,92.5,90.6,89.7,93,89.2,94.5,94.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Switzerland,CHE,34,47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.2,85.2,86.3,83.6,87.5,89.1,89.7,91.8,93.1,94.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,Syrian Arab Republic,SYR,0.124,0.182,0.354,2.09,3.4,4.32,5.65,7.83,11.5,14,17.3,20.7,22.5,24.3,26.2,28.1,30,31.9,32.7,33.8,34.7,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Tajikistan,TJK,0.0328,0.0486,0.0513,0.0555,0.0646,0.0775,0.299,3.77,7.2,8.78,10.1,11.6,13,14.5,16,17.5,19,20.5,22,..,..,27.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Tanzania,TZA,0.0751,0.117,0.171,0.222,0.677,0.878,1.1,1.3,1.6,1.9,2.4,2.9,3.2,3.95,4.4,7,10,13.5,14.5,15.5,16.6,17.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Thailand,THA,2.43,3.69,5.56,7.53,9.3,10.7,15,17.2,20,18.2,20.1,22.4,23.7,26.5,28.9,34.9,39.3,47.5,52.9,56.8,66.7,77.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Timor-Leste,TLS,..,..,..,0,..,..,0.099,0.5,1,1.5,2,3,4,7,11,17.5,18.6,21.2,24.2,27.6,28,32
Individuals using the Internet (% of population),IT.NET.USER.ZS,Togo,TGO,0.59,0.8,0.9,1,1.2,1.5,1.8,2,2.2,2.4,2.6,3,3.5,4,4.5,5.7,7.12,11.3,12.4,15.5,20.7,29
Individuals using the Internet (% of population),IT.NET.USER.ZS,Tonga,TON,1.02,2.43,2.83,2.91,2.99,3.95,4.91,5.85,7.18,8.11,10,16,25,30,32.8,36,38.7,40,46.2,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Trinidad and Tobago,TTO,5.81,7.72,15.4,22,26,27,29,30,32.3,34.8,44.3,48.5,55.2,57.5,59.9,62.4,65.1,67.8,70.6,72.8,75,77.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,Tunisia,TUN,1.6,2.75,4.3,5.25,6.49,8.53,9.66,13,17.1,27.5,34.1,36.8,39.1,41.4,43.8,46.2,46.5,49.6,55.5,64.2,66.7,68.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,Turkiye,TUR,2.29,3.76,5.19,11.4,12.3,14.6,15.5,18.2,28.6,34.4,36.4,39.8,43.1,45.1,46.3,51,53.7,58.3,64.7,71,74,77.7
Individuals using the Internet (% of population),IT.NET.USER.ZS,Turkmenistan,TKM,0.045,0.133,0.175,0.302,0.425,0.754,0.997,1.32,1.41,1.75,1.95,3,5,7.2,9.6,12.2,15,18,21.3,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Tuvalu,TUV,..,5.24,5.7,6.3,6.9,7.6,8.3,9.1,10,11.2,12.8,14.6,16.5,18.7,21.2,24.1,27.3,31,35.2,42.3,50.8,61
Individuals using the Internet (% of population),IT.NET.USER.ZS,Uganda,UGA,0.106,0.164,0.238,0.384,0.465,0.72,1.74,2.53,3.67,3.88,4.1,4.3,4.6,4.8,5.1,5.4,5.8,5.9,..,..,..,7.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ukraine,UKR,0.405,0.716,1.24,1.87,3.15,3.49,3.75,4.51,6.55,11,17.9,23.3,28.7,35.3,41,46.2,48.9,53,58.9,62.6,70.1,75
Individuals using the Internet (% of population),IT.NET.USER.ZS,United Arab Emirates,ARE,14.9,23.6,26.3,28.3,29.5,30.1,40,52,61,63,64,68,78,85,88,90.4,90.5,90.6,94.8,98.5,99.2,100
Individuals using the Internet (% of population),IT.NET.USER.ZS,United Kingdom,GBR,21.3,26.8,33.5,56.5,64.8,65.6,70,68.8,75.1,78.4,83.6,85,85.4,87.5,89.8,91.6,92,94.8,90.4,90.7,92.5,94.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,United States,USA,35.8,43.1,49.1,58.8,61.7,64.8,68,68.9,75,74,71,71.7,69.7,74.7,71.4,73,74.6,85.5,87.3,88.5,89.4,90.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,Uruguay,URY,9.97,10.5,11.1,11.4,15.9,17.1,20.1,29.4,34,39.3,41.8,46.4,51.4,54.5,57.7,61.5,64.6,66.4,70.3,80.7,83.4,85.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Uzbekistan,UZB,0.0307,0.484,0.598,1.08,1.91,2.59,3.34,6.39,7.49,9.08,11.9,15.9,18.6,23.6,26.8,35.5,42.8,46.8,48.7,55.2,70.4,71.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Vanuatu,VUT,0.538,2.11,2.83,3.51,3.9,4.75,5.08,5.85,6.8,7.27,7.5,8,9.2,10.6,11.3,18.8,22.4,24,30.8,34,37.5,41.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Venezuela, RB",VEN,2.84,3.36,4.64,4.91,7.5,8.4,12.6,15.2,20.8,25.9,32.7,37.4,40.2,49.1,54.9,57,58,60,61.6,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Viet Nam,VNM,0.129,0.254,1.27,1.86,3.78,7.64,12.7,17.3,20.8,23.9,26.6,30.7,35.1,36.8,38.5,41,45,53,58.1,69.8,68.7,70.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,Virgin Islands (U.S.),VIR,11.1,13.8,18.4,27.5,27.4,27.4,27.3,27.3,27.3,27.4,27.4,31.2,35.6,40.5,45.3,50.1,54.8,59.6,64.4,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,West Bank and Gaza,PSE,..,1.11,1.84,3.1,4.13,4.4,16,18.4,21.2,24.4,32.2,37.4,41.1,43.4,46.6,53.7,56.7,59.9,63.3,64.4,70.6,76
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Yemen, Rep.",YEM,0.0566,0.0825,0.0908,0.519,0.605,0.881,1.05,1.25,5.01,6.89,9.96,12.4,14.9,17.4,20,22.6,24.1,24.6,26.7,..,..,13.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Zambia,ZMB,0.147,0.191,0.233,0.478,0.98,1.1,1.3,1.6,1.9,2.2,2.5,3,3.5,4.1,4.8,6.5,8.8,10.3,12.2,14.3,18.7,24.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Zimbabwe,ZWE,0.162,0.401,0.8,1.1,1.8,2.1,2.4,2.4,3,3.5,4,6.4,8.4,12,15.5,16.4,22.7,23.1,24.4,25,26.6,29.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Early-demographic dividend,EAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Euro area,EMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Europe & Central Asia,ECS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,European Union,EUU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,High income,HIC,..,..,..,..,..,..,53,55.8,61.4,64.1,66.5,69.1,70.5,73.8,75.2,77,78.3,82.5,84.2,86.4,87.5,88.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,IDA & IBRD total,IBT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Late-demographic dividend,LTE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Latin America & Caribbean,LCN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
